ID,Category,Name,Sub Category
607,Special_Knowledge,structural mechanics,
608,Special_Knowledge,progressive failure analysis,
609,Special_Knowledge,commercial explicit FE code Altair RADIOSS ,
610,Special_Knowledge,HyperMesh & HyperView,
611,Experience,Work experience in a part 21J-approved organization,Work experience
612,Experience,ATA-34 system development,Work experience
613,Special_Knowledge,knowledge in ARP-4754A and ARP-4761,
614,Special_Knowledge,knowledge of GNSS SBAS receivers and Inertial Reference Systems,
615,Education,"Chemical Engineering, Chemistry, Material Science or related field",Studies
616,Experience,Experience in Li-ion battery technology,Work experience
617,Education,mechanical engineering,Studies
618,Education,business administration (with engineering background),Studies
619,Experience,Engineering Services in aerospace industry ,Experience
620,Special_Knowledge,end-to-end responsibility of category strategy implementation,
621,Special_Knowledge,EASA Part 21J,
622,Special_Knowledge,supplier selection & contracting,
623,Special_Knowledge,Strategic procurement in a corporate environment,
624,Education,"mechanical-, aerospace-, chemical-, materials engineering or similar",studies
625,Experience,aerospace M&P (materials and process) certification environment,Experience
626,Special_Knowledge,defining material test standards,
627,Education,"engineering, physics, chemistry, or a related field",Studies
628,Experience,"batteries, preferably executing performance tests and abuse testing",Experience
629,Special_Knowledge,"power supplies, loads and data acquisition systems",
630,Experience,Kostenrechnung,Berufserfahrung
631,Special_Knowledge,Kenntnisse öffentliches Preisrecht,
632,Special_Knowledge,SAP CO,
